"q	"
"Darkness cannot drive out darkness: only light can do that. Hate cannot drive out hate: only love can do that.  - Martin Luther King Jr., A Testament of Hope: The Essential Writings and Speeches	"
"The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.  - Elie Wiesel	"
"The only thing worse than a boy who hates you: a boy that loves you.  - Markus Zusak, The Book Thief	"
"I have decided to stick to love...Hate is too great a burden to bear.  - Martin Luther King Jr., A Testament of Hope: The Essential Writings and Speeches	"
"More smiling, less worrying. More compassion, less judgment. More blessed, less stressed. More love, less hate.  - Roy T. Bennett, The Light in the Heart	"
"If you want to forget something or someone, never hate it, or never hate him/her. Everything and everyone that you hate is engraved upon your heart; if you want to let go of something, if you want to forget, you cannot hate.  - C. JoyBell C.	"
"Hate the sin, love the sinner.  - Mahatma Gandhi	"
"When we don't know who to hate, we hate ourselves.  - Chuck Palahniuk, Invisible Monsters	"
"There is no such thing as a ""broken family."" Family is family, and is not determined by marriage certificates, divorce papers, and adoption documents. Families are made in the heart. The only time family becomes null is when those ties in the heart are cut. If you cut those ties, those people are not your family. If you make those ties, those people are your family. And if you hate those ties, those people will still be your family because whatever you hate will always be with you.  - C. JoyBell C.	"
"I imagine one of the reasons people cling to their hates so stubbornly is because they sense, once hate is gone, they will be forced to deal with pain.  - James Baldwin, The Fire Next Time	"
"livid, adj.  Fuck You for cheating on me. Fuck you for reducing it to the word cheating. As if this were a card game, and you sneaked a look at my hand. Who came up with the term cheating, anyway? A cheater, I imagine. Someone who thought liar was too harsh. Someone who thought devastator was too emotional. The same person who thought, oops, he™d gotten caught with his hand in the cookie jar. Fuck you. This isn™t about slipping yourself an extra twenty dollars of Monopoly money. These are our lives. You went and broke our lives. You are so much worse than a cheater. You killed something. And you killed it when its back was turned.  - David Levithan, The Lover's Dictionary	"
"In the moment when I truly understand my enemy, understand him well enough to defeat him, then in that very moment I also love him. I think it™s impossible to really understand somebody, what they want, what they believe, and not love them the way they love themselves. And then, in that very moment when I love them.... I destroy them.  - Orson Scott Card, Ender's Game	"
"I know enough to know that no woman should ever marry a man who hated his mother.  - Martha Gellhorn, Selected Letters	"
"Throughout life people will make you mad, disrespect you and treat you bad. Let God deal with the things they do, cause hate in your heart will consume you too.  - Will Smith	"
"Now there is a final reason I think that Jesus says, ""Love your enemies."" It is this: that love has within it a redemptive power. And there is a power there that eventually transforms individuals. Just keep being friendly to that person. Just keep loving them, and they can™t stand it too long. Oh, they react in many ways in the beginning. They react with guilt feelings, and sometimes they™ll hate you a little more at that transition period, but just keep loving them. And by the power of your love they will break down under the load. That™s love, you see. It is redemptive, and this is why Jesus says love. There™s something about love that builds up and is creative. There is something about hate that tears down and is destructive. So love your enemies. (from ""Loving Your Enemies"")  - Martin Luther King Jr., A Knock at Midnight: Inspiration from the Great Sermons of Reverend Martin Luther King, Jr.	"
"In time we hate that which we often fear.  - William Shakespeare, Antony and Cleopatra	"
"Anger is like flowing water; there's nothing wrong with it as long as you let it flow. Hate is like stagnant water; anger that you denied yourself the freedom to feel, the freedom to flow; water that you gathered in one place and left to forget. Stagnant water becomes dirty, stinky, disease-ridden, poisonous, deadly; that is your hate. On flowing water travels little paper boats; paper boats of forgiveness. Allow yourself to feel anger, allow your waters to flow, along with all the paper boats of forgiveness. Be human.  - C. JoyBell C.	"
"Everything with me is either worship and passion or pity and understanding. I hate rarely, though when I hate, I hate murderously. For example now, I hate the bank and everything connected with it. I also hate Dutch paintings, penis-sucking, parties, and cold rainy weather. But I am much more preoccupied with loving.  - AnaÃ¯s Nin, Henry and June: From ""A Journal of Love"": The Unexpurgated Diary of AnaÃ¯s Nin, 1931-1932	"
"No, I am not bitter, I am not hateful, and I am not unforgiving. I just don't like you.  - C. JoyBell C.	"
"Animals don't hate, and we're supposed to be better than them.  - Elvis Presley	"
